Run,Project,Feature_1,Feature_2,Feature_3
Run_1,BugPrediction_Mylyn,DIT,CBO,RFC
Run_2,BugPrediction_Mylyn,CBO,RFC,LOC
Run_3,BugPrediction_Mylyn,CBO,RFC,LOC
Run_4,BugPrediction_Mylyn,CBO,LOC,RFC
Run_5,BugPrediction_Mylyn,CBO,DIT,RFC
Run_6,BugPrediction_Mylyn,CBO,RFC,LOC
Run_7,BugPrediction_Mylyn,CBO,LOC,RFC
Run_8,BugPrediction_Mylyn,CBO,LOC,RFC
Run_9,BugPrediction_Mylyn,CBO,RFC,LOC
Run_10,BugPrediction_Mylyn,CBO,RFC,LOC
Run_11,BugPrediction_Mylyn,CBO,LOC,RFC
Run_12,BugPrediction_Mylyn,CBO,RFC,LOC
Run_13,BugPrediction_Mylyn,CBO,LOC,RFC
Run_14,BugPrediction_Mylyn,CBO,RFC,LOC
Run_15,BugPrediction_Mylyn,CBO,DIT,RFC
Run_16,BugPrediction_Mylyn,CBO,RFC,DIT
Run_17,BugPrediction_Mylyn,CBO,RFC,LOC
Run_18,BugPrediction_Mylyn,CBO,LOC,DIT
Run_19,BugPrediction_Mylyn,CBO,LOC,RFC
Run_20,BugPrediction_Mylyn,CBO,RFC,LOC
Run_21,BugPrediction_Mylyn,RFC,CBO,LOC
Run_22,BugPrediction_Mylyn,CBO,RFC,LOC
Run_23,BugPrediction_Mylyn,CBO,RFC,LOC
Run_24,BugPrediction_Mylyn,CBO,RFC,LOC
Run_25,BugPrediction_Mylyn,LOC,CBO,RFC
Run_26,BugPrediction_Mylyn,CBO,RFC,LOC
Run_27,BugPrediction_Mylyn,CBO,RFC,LOC
Run_28,BugPrediction_Mylyn,CBO,LOC,RFC
Run_29,BugPrediction_Mylyn,CBO,RFC,LOC
Run_30,BugPrediction_Mylyn,CBO,RFC,LOC
