Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_lucene,RFC,LOC
Run_2,BugPrediction_lucene,RFC,LOC
Run_3,BugPrediction_lucene,WMC,LOC
Run_4,BugPrediction_lucene,RFC,LOC
Run_5,BugPrediction_lucene,RFC,LOC
Run_6,BugPrediction_lucene,WMC,LOC
Run_7,BugPrediction_lucene,RFC,LOC
Run_8,BugPrediction_lucene,RFC,LOC
Run_9,BugPrediction_lucene,RFC,LOC
Run_10,BugPrediction_lucene,RFC,LOC
Run_11,BugPrediction_lucene,RFC,LOC
Run_12,BugPrediction_lucene,WMC,LOC
Run_13,BugPrediction_lucene,RFC,LOC
Run_14,BugPrediction_lucene,WMC,LOC
Run_15,BugPrediction_lucene,RFC,LOC
Run_16,BugPrediction_lucene,WMC,LOC
Run_17,BugPrediction_lucene,RFC,LOC
Run_18,BugPrediction_lucene,WMC,LOC
Run_19,BugPrediction_lucene,RFC,LOC
Run_20,BugPrediction_lucene,RFC,LOC
Run_21,BugPrediction_lucene,WMC,LOC
Run_22,BugPrediction_lucene,RFC,LOC
Run_23,BugPrediction_lucene,WMC,LOC
Run_24,BugPrediction_lucene,RFC,LOC
Run_25,BugPrediction_lucene,RFC,LOC
Run_26,BugPrediction_lucene,RFC,LOC
Run_27,BugPrediction_lucene,WMC,LOC
Run_28,BugPrediction_lucene,RFC,LOC
Run_29,BugPrediction_lucene,RFC,LOC
Run_30,BugPrediction_lucene,RFC,LOC
