Project,Method,Stability,CI_Lower,CI_Upper
Promise_synapse12,Chi2,1.0,1.0,1.0
Promise_synapse12,MutualInfo,0.2433,0.1201,0.3665
Promise_synapse12,ReliefF,0.8372,0.678,0.9963
Promise_synapse12,Lasso,0.8927,0.7638,1.0217
